COMPANY NAME,NUMBER OF H1B SPONSORSHIPS 2023,GRADE 2023
Broadridge Financial Solutions INC,82,A
Tapestry INC,19,A
Teradyne INC,20,A
Illumina INC,106,A
Booz Allen Hamilton INC,17,A
Idex Service Corporation,4,A
Galaxy Software Solutions INC,5,A
Enphase Energy INC,26,A
Crowdstrike INC,68,A
Hyatt Corporation,23,A
Prosperity Service Group LLC,4,A
Onemain General Services Corporation,76,A
Bank OZK,10,A
Lamb Weston INC,1,A
Columbia Bank,1,A
Datadog INC,43,A
Monolithic Power Systems INC,17,A
Align Technology INC,48,A
Insulet Corporation,18,A
Hubbell Power Systems INC,6,A
Hubspot INC,87,A
Northern Natural GAS Company,4,A
United Therapeutics Corporation,6,A
Roblox Corporation,137,A
Advance Auto Business Support LLC,3,A
Rollins INC,1,A
Bloomberg LP,356,A
Google LLC,9443,A
Hubspot INC,87,A
Meta Platforms INC,3853,A
Opportunity Financial LLC,6,A
Oracle America INC,981,A
Robinhood Markets INC,132,A
Tata Consultancy Services Limited,8488,A
Advanced Micro Devices INC,543,A
Advantest America INC,28,A
DRW Holdings LLC,24,A
Expedia INC,376,A
Facebook INC,,A
Ironclad INC,21,A
Jfrog INC,10,A
Jump Operations LLC,35,A
Karsun Solutions LLC,19,A
Lawrence Berkeley National Laboratory,160,A
Linkedin Corporation,912,A
Loom INC,9,A
Marsh USA INC,8,A
Moloco INC,29,A
Nagarro INC,279,A
Pure Storage INC,165,A
Qualcomm Technologies INC,3022,A
Rivos INC,32,A
Duolingo INC,28,A
Envestnet Financial Technologies INC,29,A
Domino Data LAB INC,7,A
Hudson River Trading LLC,33,A
Jane Street Group LLC,29,A
Lucid Software INC,32,A
Verkada INC,44,A
Virtu Financial Operating LLC,16,A
Whatnot INC,18,A
Ziprecruiter INC,14,A
Metricstream INC,6,A
Tredence INC,98,A
North America Service Center for Chinese Students LLC,3,A
Prime Healthcare Management INC,48,A
Broadcom Corporation,79,A
Didi Research America LLC,16,A
Emonics LLC,89,A
Formfactor INC,25,A
Guidewire Software INC,85,A
Hanwha Q Cells USA INC,10,A
Nordstrom INC,175,A
Okta INC,107,A
Shure Incorporated,22,A
Synchrony Bank,57,A
Tigergraph INC,3,A
Uhnder INC,3,A
Geekplus America INC,20,A
HYC USA INC,1,A
PCE Paragon Solutions USA INC,12,A
Better Holdco INC,10,A
Dana Farber Cancer Institute,128,A
Goldman Sachs Services LLC,664,A
Babeltime INC,1,A
Cowen INC,3,A
Mizuho Securities USA LLC,14,A
Compass Group USA INC,41,A
Juul Labs INC,18,A
Kemin Industries INC,2,A
Nutrition Therapy Essentials INC,1,A
Perfect Day INC,2,A
ARM INC,166,A
BP America INC,24,A
CAC Auto Group LLC,6,A
Glucobit INC,2,A
Independent Living Systems LLC,2,A
Axtria INC,157,A
Benefits Science LLC,5,A
Interlake Mecalux INC,3,A
LG Energy Solution Michigan INC,12,A
Mckinsey & Company INC United States,611,A
Mclane CO INC,2,A
Mediterranean Shipping Company USA INC,21,A
PMG Worldwide LLC,11,A
the Raymond Corporation,8,A
Interpro INC,11,A
Pricewaterhousecoopers LLP,422,A
United Software Group INC,8,A
Inovalon INC,47,A
Crowe LLP,54,A
Malonebailey LLP,12,A
Standish Management LLC,11,A
Quizlet INC,8,A
Brainlab INC,8,A
First Solar INC,19,A
Ampcus INC,7,A
Bytedance INC,713,A
C2 Educational Systems INC,6,A
Capital One Services LLC,545,A
Castle Global INC,7,A
IXL Learning INC,21,A
Knav PA,19,A
Noble House Home Furnishings LLC,1,A
Simbiosys INC,2,A
Wolfram Research INC,9,A
Anrok INC,2,A
C3ai INC,72,A
Cyberbridge International,9,A
DRW Holdings LLC,24,A
Michaels Stores INC,48,A
Moloco INC,29,A
Nokia of America Corporation,256,A
Nuro INC,37,A
Rubrik INC,66,A
Aditi Consulting LLC,25,A
Beth Israel Deaconess Medical Center INC,61,A
Bofa Securities INC,179,A
CHA Consulting INC,19,A
Dynamic Motion Control INC,2,A
Hyzon Motors INC,7,A
ITC Infotech USA INC,121,A
Milwaukee Electric Tool Corporation,52,A
Neudesic LLC,18,A
Rimkus Consulting Group INC,4,A
Stout Risius Ross LLC,14,A
Uchicago Argonne LLC,112,A
TD Bank National Association,42,A
UBS Business Solutions US LLC,197,A
Asml US LP,339,A
Coalition INC,18,A
Allen Institute,31,A
Carnegie Mellon University,21,A
Isee INC,4,A
